timestamp,service_type,worker_id,model,AudioDurationSeconds,ChunkAudioSeconds,ChunkCount,ChunkProcessingSeconds,DownloadSeconds,GPUMemoryUsedMB,GPUMemoryUtilizationPercent,GPUPeakMemoryGB,GPUUtilizationPercent,PrepSeconds,RealTimeFactor,RequestRealTimeFactor,RequestTotalSeconds,ThroughputAudioPerSecond,TranscribeSeconds,chunk_index,full_model_name,input_key,total_chunks
2025-12-17 22:10:30.903,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.059,,4693.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:31.252,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.069,,4693.0,4.0,,8.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:31.345,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4741.0,4.0,,8.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:31.593,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4741.0,6.0,,12.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:31.678,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4741.0,5.0,,11.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:31.925,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,5.0,,10.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:32.015,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4741.0,10.0,,21.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:32.283,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.066,,4741.0,0.0,,1.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:32.284,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4743.0,0.0,,1.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:32.362,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.074,,4789.0,0.0,,1.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:32.625,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,10.0,,23.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:32.625,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4769.0,10.0,,23.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:32.712,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4789.0,10.0,,23.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:32.972,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4749.0,5.0,,11.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:32.974,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.071,,4747.0,5.0,,11.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:33.059,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4789.0,12.0,,28.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:33.313,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4769.0,3.0,,6.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:33.313,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4789.0,3.0,,6.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:33.400,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,3.0,,6.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:33.652,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,5.0,,12.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:33.653,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,5.0,,12.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:33.739,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,5.0,,12.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:33.993,chunked,9,nvidia/parakeet-ctc-0.6b,,6.201,,0.062,,4723.0,10.0,,21.0,,0.01,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:33.993,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4743.0,10.0,,21.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:33.994,chunked,9,parakeet-ctc-0.6b,276.2,,10,,0.45,,,1.29,,1.16,,0.018,5.05,54.69,3.44,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:34.095,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.081,,4743.0,7.0,,21.0,,0.003,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:34.345,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,5.0,,10.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:34.432,chunked,7,nvidia/parakeet-ctc-0.6b,,6.201,,0.063,,4695.0,7.0,,16.0,,0.01,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:34.432,chunked,7,parakeet-ctc-0.6b,276.2,,10,,0.26,,,1.29,,1.17,,0.018,4.85,56.96,3.42,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:34.680,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4695.0,0.0,,1.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:35.031,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4693.0,5.0,,11.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:35.351,chunked,0,nvidia/parakeet-ctc-0.6b,,6.201,,0.054,,4647.0,0.0,,0.0,,0.009,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:35.352,chunked,0,parakeet-ctc-0.6b,276.2,,10,,0.31,,,1.29,,1.22,,0.018,4.95,55.75,3.42,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:35.951,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4693.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:36.296,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4693.0,0.0,,0.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:36.381,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.062,,4741.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:36.632,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,5.0,,10.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:36.720,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4741.0,5.0,,10.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:36.971,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,5.0,,11.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:37.054,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4741.0,7.0,,15.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:37.320,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,3.0,,6.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:37.371,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,3.0,,6.0,,0.002,,,,,0,,input/4m36s.wav,10
