request_id,audio_duration_s,processing_time_s,worker_id,real_time_factor,throughput
407,276.2,5.05,9,0.0183,54.69
408,276.2,4.85,7,0.0176,56.95
409,276.2,4.95,0,0.0179,55.8
410,276.2,4.7,9,0.017,58.77
411,276.2,4.7,7,0.017,58.77
412,276.2,4.8,0,0.0174,57.54
413,276.2,4.79,9,0.0173,57.66
414,276.2,4.76,7,0.0172,58.03
415,276.2,4.77,0,0.0173,57.9
416,276.2,4.76,9,0.0172,58.03
417,276.2,4.75,7,0.0172,58.15
418,276.2,4.8,0,0.0174,57.54
419,276.2,4.69,9,0.017,58.89
420,276.2,4.71,7,0.0171,58.64
421,276.2,4.74,0,0.0172,58.27
422,276.2,4.78,9,0.0173,57.78
423,276.2,4.74,7,0.0172,58.27
424,276.2,4.73,0,0.0171,58.39
425,276.2,4.7,9,0.017,58.77
426,276.2,4.76,7,0.0172,58.03
427,276.2,4.7,0,0.017,58.77
428,276.2,4.7,9,0.017,58.77
429,276.2,4.72,7,0.0171,58.52
430,276.2,4.74,0,0.0172,58.27
431,276.2,4.74,9,0.0172,58.27
432,276.2,4.74,7,0.0172,58.27
433,276.2,4.72,0,0.0171,58.52
434,276.2,4.73,9,0.0171,58.39
435,276.2,4.73,7,0.0171,58.39
436,276.2,4.77,0,0.0173,57.9
437,276.2,4.74,9,0.0172,58.27
438,276.2,4.75,7,0.0172,58.15
439,276.2,4.75,0,0.0172,58.15
440,276.2,4.71,9,0.0171,58.64
441,276.2,4.79,7,0.0173,57.66
442,276.2,4.74,0,0.0172,58.27
443,276.2,4.77,9,0.0173,57.9
444,276.2,4.77,7,0.0173,57.9
445,276.2,4.73,0,0.0171,58.39
446,276.2,4.78,9,0.0173,57.78
447,276.2,4.8,7,0.0174,57.54
448,276.2,4.73,0,0.0171,58.39
449,276.2,4.67,9,0.0169,59.14
450,276.2,4.7,7,0.017,58.77
451,276.2,4.73,0,0.0171,58.39
452,276.2,4.67,9,0.0169,59.14
453,276.2,4.68,7,0.0169,59.02
454,276.2,4.69,0,0.017,58.89
455,276.2,4.67,9,0.0169,59.14
456,276.2,4.8,7,0.0174,57.54
457,276.2,4.73,0,0.0171,58.39
458,276.2,4.67,9,0.0169,59.14
459,276.2,4.69,7,0.017,58.89
460,276.2,4.71,0,0.0171,58.64
461,276.2,4.71,9,0.0171,58.64
462,276.2,4.75,7,0.0172,58.15
463,276.2,4.74,0,0.0172,58.27
464,276.2,4.67,9,0.0169,59.14
465,276.2,4.69,7,0.017,58.89
466,276.2,4.71,0,0.0171,58.64
467,276.2,4.65,9,0.0168,59.4
468,276.2,4.75,7,0.0172,58.15
469,276.2,4.73,0,0.0171,58.39
470,276.2,4.77,9,0.0173,57.9
471,276.2,4.75,7,0.0172,58.15
472,276.2,4.72,0,0.0171,58.52
473,276.2,4.72,9,0.0171,58.52
474,276.2,4.66,7,0.0169,59.27
475,276.2,4.75,0,0.0172,58.15
476,276.2,4.69,9,0.017,58.89
477,276.2,4.77,7,0.0173,57.9
478,276.2,4.68,0,0.0169,59.02
479,276.2,4.76,9,0.0172,58.03
480,276.2,4.8,7,0.0174,57.54
481,276.2,4.79,0,0.0173,57.66
482,276.2,4.72,9,0.0171,58.52
483,276.2,4.7,7,0.017,58.77
484,276.2,4.75,0,0.0172,58.15
485,276.2,4.69,9,0.017,58.89
486,276.2,4.71,7,0.0171,58.64
487,276.2,4.7,0,0.017,58.77
488,276.2,4.69,9,0.017,58.89
489,276.2,4.7,7,0.017,58.77
490,276.2,4.68,0,0.0169,59.02
491,276.2,4.68,9,0.0169,59.02
492,276.2,4.68,7,0.0169,59.02
493,276.2,4.75,0,0.0172,58.15
494,276.2,4.7,9,0.017,58.77
495,276.2,4.75,7,0.0172,58.15
496,276.2,4.74,0,0.0172,58.27
497,276.2,4.76,9,0.0172,58.03
498,276.2,4.73,7,0.0171,58.39
499,276.2,4.74,0,0.0172,58.27
500,276.2,4.69,9,0.017,58.89
501,276.2,4.75,7,0.0172,58.15
502,276.2,4.72,0,0.0171,58.52
503,276.2,4.7,9,0.017,58.77
504,276.2,4.69,7,0.017,58.89
505,276.2,4.67,0,0.0169,59.14
506,276.2,4.43,9,0.016,62.35
